,NaturalGas_Conv,Nuclear,Battery,Curtailment,Battery_charge,Battery_level,Cost,WindTurbine
20,90.12410042591955,500.0,250.0,-0.0,-0.0,19.511388567677812,0.004923108236235062,95.86490483878643
21,0.0,500.0,0.0,-570.1615099950756,-0.0,19.511388567677812,0.0029055,1000.0
22,0.0,500.0,0.0,-63.064492324293894,-231.29583058445206,232.7556078536618,0.0029055,712.1983020599113
23,0.0,500.0,0.0,-649.4746841747309,-0.0,232.7556078536618,0.0029055,1000.0
24,0.0,500.0,232.7556078536618,-0.0,-0.0,18.16554042455536,0.0029055,128.2048981255751
25,0.0,500.0,0.0,-322.45071998287995,-186.8872920273733,190.46711015950004,0.0029055,839.5412321836576
26,0.0,500.0,0.0,-449.36063265648534,-250.0,420.9557215918222,0.0029055,1000.0
27,0.0,500.0,185.42751475816362,-0.0,-0.0,250.0,0.0029055,97.21682072899779
28,5.525216987652811,500.0,250.0,-0.0,-0.0,19.511388567677812,0.0030291930327025836,0.0
29,0.0,500.0,0.0,-613.1705287807379,-0.0,19.511388567677812,0.0029055,861.4987847249732
30,0.0,500.0,0.0,-716.8434531009452,-0.0,19.511388567677812,0.0029055,1000.0
31,0.0,500.0,0.0,-732.5195343373151,-0.0,19.511388567677812,0.0029055,1000.0
32,0.0,500.0,0.0,-735.7492573923631,-0.0,19.511388567677812,0.0029055,1000.0
33,0.0,500.0,0.0,-757.4564495934505,-0.0,19.511388567677812,0.0029055,1000.0
34,0.0,500.0,0.0,-706.4814678074242,-0.0,19.511388567677812,0.0029055,1000.0
35,0.0,500.0,0.0,-676.0105885140811,0.0,19.511388567677812,0.0029055,1000.0
36,0.0,500.0,0.0,-78.92512633916334,-0.0,19.511388567677812,0.0029055,413.07145664369074
37,0.0,500.0,0.0,-392.29701646440583,-250.0,250.0,0.0029055,1000.0
38,104.77901533024828,500.0,250.0,-0.0,-0.0,19.511388567677812,0.005251187816198269,65.96749091279965
39,0.0,500.0,0.0,-350.70002871972406,-229.95577100182518,231.5201339639168,0.0029055,1000.0
40,0.0,500.0,231.5201339639168,-0.0,-0.0,18.069117180043207,0.0029055,174.4059244205709
41,0.0,500.0,0.0,-239.7938490804022,-0.0,18.069117180043207,0.0029055,660.7271619777663
42,0.0,500.0,0.0,-557.7860983234423,-0.0,18.069117180043207,0.0029055,1000.0
43,0.0,500.0,0.0,-535.8483515774541,-0.0,18.069117180043207,0.0029055,1000.0
44,0.0,500.0,0.0,-596.1207302002383,-0.0,18.069117180043207,0.0029055,1000.0
45,0.0,500.0,0.0,-554.0211592203378,-0.0,18.069117180043207,0.0029055,1000.0
46,0.0,500.0,0.0,-91.7834828018621,-69.7493702635737,82.37485918136323,0.0029055,547.8373345552918
47,0.0,500.0,0.0,-410.11627294774587,-250.0,312.8634706136854,0.0029055,1000.0
48,0.0,500.0,88.70798378909217,-0.0,-0.0,231.07875058765023,0.0029055,268.5238119261191
49,0.0,500.0,231.07875058765023,-0.0,-0.0,18.034669169796615,0.0029055,119.48486516951803
50,0.0,500.0,0.0,-361.33835380397727,-0.0,18.034669169796615,0.0029055,658.7124472210161
51,0.0,500.0,0.0,-704.461375279039,-0.0,18.034669169796615,0.0029055,1000.0
52,0.0,500.0,0.0,-735.9775321731165,-0.0,18.034669169796615,0.0029055,1000.0
53,0.0,500.0,0.0,-313.5828265237766,-0.0,18.034669169796615,0.0029055,575.9670864392289
54,0.0,500.0,0.0,-707.0480388213188,-0.0,18.034669169796615,0.0029055,1000.0
55,0.0,500.0,0.0,-268.66262963646034,-0.0,18.034669169796615,0.0029055,552.5572756964704
56,0.0,500.0,0.0,-334.3285345475464,-0.0,18.034669169796615,0.0029055,590.2317470717147
57,0.0,500.0,0.0,-120.13124042331486,-0.0,18.034669169796615,0.0029055,468.34327023469285
58,0.0,500.0,0.0,-702.7539735369214,-0.0,18.034669169796615,0.0029055,1000.0
59,0.0,500.0,0.0,-643.7528112389332,-0.0,18.034669169796615,0.0029055,1000.0
60,0.0,500.0,0.0,-464.99689549910016,-86.6375684369686,97.91056055743533,0.0029055,926.1499953069148
61,0.0,500.0,0.0,-612.2084330094207,-0.0,97.91056055743533,0.0029055,1000.0
62,0.0,500.0,0.0,-334.8192908299883,-250.0,328.3991719897575,0.0029055,1000.0
63,0.0,500.0,0.0,-323.5218630892815,-250.0,558.8877834220797,0.0029055,1000.0
64,208.51665246747336,500.0,250.0,-0.0,-0.0,328.3991719897575,0.0075735622987893264,0.0
65,0.0,500.0,0.0,-215.4077866499074,-250.0,558.8877834220797,0.0029055,901.970843936189
66,0.0,500.0,0.0,-0.0,-223.5199389189877,764.9629848175795,0.0029055,652.2152720574925
67,24.471131708519124,500.0,250.0,-0.0,-0.0,534.4743733852573,0.003453335225558618,179.68114677868084
68,0.0,500.0,0.0,-76.00733509717679,-250.0,764.9629848175795,0.0029055,792.2509437999602
69,0.0,500.0,245.06656346073532,-0.0,-0.0,539.0227771353557,0.0029055,168.91046941220063
70,0.0,500.0,0.0,-322.3638222513242,-250.0,769.5113885676778,0.0029055,1000.0
71,120.23880163482568,500.0,250.0,-0.0,-0.0,539.0227771353557,0.005597286052198842,0.0
72,0.0,500.0,0.0,-183.78157215326974,-250.0,769.5113885676778,0.0029055,810.4259908582576
73,0.0,500.0,0.0,-408.4221342505218,-250.0,1000.0,0.0029055,1000.0
74,0.0,500.0,214.00389720568273,-0.0,-0.0,802.6981555678271,0.0029055,97.78159346280212
75,0.0,500.0,199.12977002726166,-0.0,-0.0,619.1095788141424,0.0029055,102.8585586029358
76,0.0,500.0,0.0,-493.95278752316653,-250.0,849.5981902464646,0.0029055,1000.0
77,0.0,500.0,123.21242453165644,-0.0,-0.0,736.0019476804194,0.0029055,143.92545112795162
78,0.0,500.0,0.0,-514.407591647866,-250.0,966.4905591127416,0.0029055,1000.0
79,0.0,500.0,170.5224972359788,-0.0,-0.0,809.2765846891706,0.0029055,67.47808592555828
80,0.0,500.0,232.30921315926525,-0.0,-0.0,595.098072833113,0.0029055,68.92897203478009
81,0.0,500.0,180.05782089681736,-0.0,-0.0,429.09296436896415,0.0029055,118.605589898144
82,0.0,500.0,0.0,-408.0453676914244,-250.0,659.5815758012864,0.0029055,1000.0
83,0.0,500.0,85.03286443088768,-0.0,-0.0,581.1851484061335,0.0029055,264.467228525336
84,0.0,500.0,53.09770675479899,-0.0,-0.0,532.2314816055165,0.0029055,304.24616439422476
85,122.94710525012056,500.0,250.0,-0.0,-0.0,301.7428701731943,0.005657916845234449,77.54515136382129
86,0.0,500.0,0.0,-306.5746652306941,-250.0,532.2314816055165,0.0029055,1000.0
87,0.0,500.0,0.0,-0.0,-245.5904005705089,758.654643239934,0.0029055,683.8453597933387
88,0.0,500.0,189.25438435167405,-0.0,-0.0,584.1707222131486,0.0029055,258.5630438784797
89,0.0,500.0,89.72217255142732,-0.0,-0.0,501.45096634886977,0.0029055,395.1776709825845
90,0.0,500.0,0.0,-302.41170834850743,-250.0,731.9395777811919,0.0029055,1000.0
91,225.8573387673132,500.0,250.0,-0.0,-0.0,501.45096634886977,0.00796176824298384,0.0
92,196.9558515733936,500.0,250.0,-0.0,-0.0,270.9623549165476,0.007314750649173563,0.0
93,74.1087561566178,500.0,250.0,-0.0,-0.0,40.47374348422542,0.004564572724078203,67.98926141244273
94,209.0856407324284,500.0,40.47374348422542,-0.0,-0.0,3.158795743636961,0.007586300239076875,159.97239460225188
95,0.0,500.0,0.0,-607.2914435672366,-0.0,3.158795743636961,0.0029055,1000.0
